screen_code,screen_code_dec,petscii_code,petscii_code_dec,char,unicode,name,keyboard,control_code,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
$00,0,$40,64,@,U+0040,commercial at,,@,$3C,$66,$6E,$6E,$60,$62,$3C,$00
$01,1,$41,65,A,U+0041,latin capital letter a,,a,$18,$3C,$66,$7E,$66,$66,$66,$00
$02,2,$42,66,B,U+0042,latin capital letter b,,b,$7C,$66,$66,$7C,$66,$66,$7C,$00
$03,3,$43,67,C,U+0043,latin capital letter c,,c,$3C,$66,$60,$60,$60,$66,$3C,$00
$04,4,$44,68,D,U+0044,latin capital letter d,,d,$78,$6C,$66,$66,$66,$6C,$78,$00
$05,5,$45,69,E,U+0045,latin capital letter e,,e,$7E,$60,$60,$78,$60,$60,$7E,$00
$06,6,$46,70,F,U+0046,latin capital letter f,,f,$7E,$60,$60,$78,$60,$60,$60,$00
$07,7,$47,71,G,U+0047,latin capital letter g,,g,$3C,$66,$60,$6E,$66,$66,$3C,$00
$08,8,$48,72,H,U+0048,latin capital letter h,,h,$66,$66,$66,$7E,$66,$66,$66,$00
$09,9,$49,73,I,U+0049,latin capital letter i,,i,$3C,$18,$18,$18,$18,$18,$3C,$00
$0A,10,$4A,74,J,U+004A,latin capital letter j,,j,$1E,$0C,$0C,$0C,$0C,$6C,$38,$00
$0B,11,$4B,75,K,U+004B,latin capital letter k,,k,$66,$6C,$78,$70,$78,$6C,$66,$00
$0C,12,$4C,76,L,U+004C,latin capital letter l,,l,$60,$60,$60,$60,$60,$60,$7E,$00
$0D,13,$4D,77,M,U+004D,latin capital letter m,,m,$63,$77,$7F,$6B,$63,$63,$63,$00
$0E,14,$4E,78,N,U+004E,latin capital letter n,,n,$66,$76,$7E,$7E,$6E,$66,$66,$00
$0F,15,$4F,79,O,U+004F,latin capital letter o,,o,$3C,$66,$66,$66,$66,$66,$3C,$00
$10,16,$50,80,P,U+0050,latin capital letter p,,p,$7C,$66,$66,$7C,$60,$60,$60,$00
$11,17,$51,81,Q,U+0051,latin capital letter q,,q,$3C,$66,$66,$66,$66,$3C,$0E,$00
