petscii_hex,c64_key,key_modifier,meaning,notes
00,,,,
01,,,,
02,,,,
03,,,stop,
04,,,,
05,,,color no 1 (white),
06,,,,
07,,,,
08,,,,
09,,,tab,
0A,,,,
0B,,,,
0C,,,,
0D,,,carriage return,
0E,cbm,shift,enable text mode,pressing cbm+shift toggles between keyboard and graphics
0F,,,,
10,,,,
11,,,cursor down,
12,,,reverse,
13,,,cursor home,
14,,,delete,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
1A,,,,
1B,,,,
1C,,,color no 2 (red),
1D,,,cursor right,
1E,,,color no 5 (green),
1F,,,color no 6 (blue),
20,,,space,unicode=U+0020
21,,,!,
22,,,"""",
23,,,#,
24,,,$,
25,,,%,
26,,,&,
27,,,',
28,,,(,
29,,,),
2A,,,*,
2B,,,+,
2C,,,",",
2D,,,-,
2E,,,.,
2F,,,/,
30,,,0,
31,,,1,
32,,,2,
33,,,3,
34,,,4,
35,,,5,
36,,,6,
37,,,7,
38,,,8,
39,,,9,
3A,,,:,
3B,,,;,
3C,,,<,
3D,,,=,
3E,,,>,
3F,,,?,
40,,,@,
41,,,A,
42,,,B,
43,,,C,
44,,,D,
45,,,E,
46,,,F,
47,,,G,
48,,,H,
49,,,I,
4A,,,J,
4B,,,K,
4C,,,L,
4D,,,M,
4E,,,N,
4F,,,O,
50,,,P,
51,,,Q,
52,,,R,
53,,,S,
54,,,T,
55,,,U,
56,,,V,
57,,,W,
58,,,X,
59,,,Y,
5A,,,Z,
5B,,,[,
5C,,,£,
5D,,,],
5E,,,↑,
5F,,,←,
60,,,─,
61,,,♠,
62,,,🭲,
63,,,🭸,
64,,,🭷,
65,,,🭶,
66,,,🭺,
67,,,🭱,
68,,,🭴,
69,,,╮,
6A,,,╰,
6B,,,╯,
6C,,,🭼,
6D,,,╲,
6E,,,╱,
6F,,,🭽,
70,,,🭾,
71,,,•,
72,,,🭻,
73,,,♥,
74,,,🭰,
75,,,╭,
76,,,╳,
77,,,○,
78,,,♣,
79,,,🭵,
7A,,,♦,
7B,,,┼,
7C,,,🮌,
7D,,,│,
7E,,,π,
7F,,,◥,
80,,,,
81,,,color no 8 (orange),
82,,,,
83,,,,
84,,,,
85,,,F1,
86,,,F3,
87,,,F5,
88,,,F7,
89,,,F2,
8A,,,F4,
8B,,,F6,
8C,,,F8,
8D,,,shift return,
8E,cbm,shift,enable graphics mode,pressing cbm+shift toggles between keyboard and graphics
8F,,,,
90,,,color no 0 (black),
91,,,cursor up,
92,,,rvs off,
93,,,clear screen,
94,,,insert,
95,,,color no 9 (brown),
96,,,color no 10 (lt. red),
97,,,color no 11 (dk. grey),
98,,,color no 12 (md. grey),
99,,,color no 13 (light green),
9A,,,color no 14 (light blue),
9B,,,color no 15 (light gray),
9C,,,color no 4 (purple),
9D,,,cursor left,
9E,,,color no 7 (yellow),
9F,,,color no 3 (cyan),
A0,,,shift space,
A1,k,cbm,,left half solid
A2,a,cbm,,bottom half solid
A3,t,cbm,,
A4,@,cbm,,
A5,g,cbm,,
A6,+,cbm,,
A7,n,cbm,,
A8,£,cbm,,
A9,£,shift,,
AA,n,cbm,,
AB,q,cbm,,
AC,d,cbm,,
AD,z,cbm,,
AE,s,cbm,,
AF,p,cbm,,
B0,a,cbm,,
B1,e,cbm,,
B2,r,cbm,,
B3,w,cbm,,
B4,g,cbm,,
B5,j,cbm,,
B6,l,cbm,,
B7,y,cbm,,
B8,u,cbm,,
B9,o,cbm,,
BA,@,shift,,
BB,f,cbm,,
BC,c,cbm,,
BD,x,cbm,,
BE,v,cbm,,
BF,b,cbm,,
C0,c,shift,,
C1,a,shift,,
C2,b,shift,,
C3,c,shift,,
C4,d,shift,,
C5,e,shift,,
C6,f,shift,,
C7,g,shift,,
C8,h,shift,,
C9,i,shift,,
CA,j,shift,,
CB,k,shift,,
CC,l,shift,,
CD,m,shift,,
CE,n,shift,,
CF,o,shift,,
D0,p,shift,,
D1,q,shift,,solid circle
D2,r,shift,,
D3,s,shift,,heart
D4,t,shift,,
D5,u,shift,,
D6,v,shift,,diagonal cross
D7,w,shift,,hollow circle
D8,x,shift,,card symbol
D9,y,shift,,
DA,z,shift,,solid square standing on edge
DB,+,shift,,petscii plus sign
DC,-,cbm,,left side shaded
DD,-,shift,,
DE,↑,shift,,pi symbol
DF,*,cbm,,split diagonal; upper-right solid
E0,,,,
E1,k,cbm,,
E2,i,cbm,,
E3,t,cbm,,
E4,@,cbm,,
E5,h,cbm,,
E6,+,cbm,,fully shaded
E7,n,cbm,,
E8,£,cbm,,bottom half shaded
E9,£,shift,,split diagonal; upper-left solid
EA,n,cbm,,same as produced by E7
EB,q,cbm,,
EC,d,cbm,,
ED,z,cbm,,
EE,s,cbm,,
EF,p,cbm,,
F0,a,cbm,,
F1,e,cbm,,
F2,r,cbm,,
F3,w,cbm,,
F4,g,cbm,,
F5,j,cbm,,
F6,l,cbm,,
F7,y,cbm,,
F8,u,cbm,,
F9,o,cbm,,
FA,@,shift,,
FB,f,cbm,,
FC,c,cbm,,
FD,x,cbm,,
FE,v,cbm,,
FF,π,,,
